customer_id,total_calls,avg_service_time,total_service_time,avg_vru_time,avg_queue_time,total_hangs,avg_priority,first_call,last_call,hang_rate,customer_lifetime_days,cluster
0.0,234552,144.65,33927325,14.53,30.49,50479,0.0,1999-01-01,1999-12-31,21.52,364,1
34.0,17,124.82,2122,4.71,75.88,5,1.0,1999-01-13,1999-08-11,29.41,210,0
5876.0,1,98.0,98,6.0,28.0,0,2.0,1999-01-21,1999-01-21,0.0,0,2
13615.0,1,0.0,0,5.0,8.0,1,1.0,1999-07-29,1999-07-29,100.0,0,0
14779.0,45,169.16,7612,5.89,81.02,8,2.0,1999-03-15,1999-12-16,17.78,276,2
17996.0,3,0.0,0,4.0,47.33,3,1.0,1999-05-18,1999-05-18,100.0,0,0
20529.0,6,105.5,633,5.33,104.83,0,2.0,1999-05-31,1999-10-15,0.0,137,2
28852.0,1,3.0,3,5.0,59.0,0,2.0,1999-12-19,1999-12-19,0.0,0,2
39552.0,4,326.75,1307,5.5,36.5,0,1.0,1999-01-28,1999-11-17,0.0,293,0
56028.0,53,228.43,12107,5.53,74.68,4,2.0,1999-02-17,1999-12-27,7.55,313,2
57273.0,1,0.0,0,5.0,10.0,1,2.0,1999-04-19,1999-04-19,100.0,0,2
61291.0,15,131.8,1977,6.0,86.0,3,1.0,1999-01-04,1999-10-06,20.0,275,0
64931.0,36,162.33,5844,5.67,78.0,8,2.0,1999-02-22,1999-12-06,22.22,287,2
76893.0,14,272.86,3820,5.43,115.93,2,2.0,1999-01-08,1999-12-14,14.29,340,2
83030.0,2,24.5,49,5.5,127.5,1,1.0,1999-09-05,1999-11-17,50.0,73,0
92767.0,3,180.0,540,5.33,44.33,0,2.0,1999-04-14,1999-06-09,0.0,56,2
92890.0,3,1.33,4,4.67,54.0,2,2.0,1999-03-18,1999-03-18,66.67,0,2
94946.0,2,68.0,136,5.5,131.0,1,1.0,1999-04-19,1999-07-07,50.0,79,0
99390.0,3,111.67,335,6.33,93.67,0,2.0,1999-03-04,1999-07-21,0.0,139,2
101030.0,253,78.41,19838,5.55,115.55,24,2.0,1999-01-03,1999-12-28,9.49,359,2
102426.0,1,0.0,0,6.0,47.0,1,1.0,1999-03-16,1999-03-16,100.0,0,0
103085.0,1,122.0,122,5.0,209.0,0,1.0,1999-02-11,1999-02-11,0.0,0,0
104018.0,21,73.33,1540,5.71,62.9,6,1.0,1999-01-03,1999-11-25,28.57,326,0
106583.0,2,66.5,133,5.5,19.0,0,2.0,1999-09-30,1999-09-30,0.0,0,2
119560.0,11,194.09,2135,6.0,63.18,0,2.0,1999-01-13,1999-12-26,0.0,347,2
122424.0,3,148.33,445,5.67,118.0,0,2.0,1999-05-28,1999-12-26,0.0,212,2
127210.0,2,61.5,123,6.5,89.0,0,0.0,1999-02-01,1999-05-08,0.0,96,0
128926.0,30,119.8,3594,5.6,83.23,1,2.0,1999-03-29,1999-12-28,3.33,274,2
141903.0,12,139.33,1672,5.75,115.92,2,2.0,1999-04-29,1999-11-02,16.67,187,2
152009.0,1,200.0,200,6.0,42.0,0,1.0,1999-09-06,1999-09-06,0.0,0,0
161554.0,4,5.0,20,4.0,31.75,2,1.0,1999-07-05,1999-07-28,50.0,23,0
167833.0,32,216.31,6922,5.56,146.97,2,2.0,1999-01-13,1999-11-15,6.25,306,2
168484.0,1,250.0,250,6.0,13.0,0,1.0,1999-02-10,1999-02-10,0.0,0,0
169417.0,22,208.64,4590,5.5,142.45,7,1.0,1999-01-10,1999-11-03,31.82,297,0
176156.0,371,170.3,63180,5.73,115.58,2,1.63,1999-01-13,1999-10-24,0.54,284,2
180984.0,1,0.0,0,6.0,274.0,1,1.0,1999-12-15,1999-12-15,100.0,0,0
185215.0,34,204.03,6937,5.32,79.38,3,2.0,1999-01-05,1999-12-27,8.82,356,2
186296.0,3,19.0,57,5.0,123.0,2,1.0,1999-08-03,1999-12-29,66.67,148,0
202200.0,2,0.0,0,14.0,8.5,2,1.0,1999-03-10,1999-03-28,100.0,18,0
203117.0,1,494.0,494,6.0,116.0,0,1.0,1999-03-17,1999-03-17,0.0,0,0
203240.0,2,85.5,171,5.5,114.5,0,1.0,1999-06-08,1999-07-25,0.0,47,0
205492.0,24,102.0,2448,5.96,66.62,9,2.0,1999-02-03,1999-12-27,37.5,327,2
206250.0,1,270.0,270,6.0,41.0,0,2.0,1999-04-18,1999-04-18,0.0,0,2
208868.0,1,9.0,9,6.0,253.0,0,2.0,1999-11-24,1999-11-24,0.0,0,2
213215.0,63,201.44,12691,5.54,97.44,4,2.0,1999-01-04,1999-12-29,6.35,359,2
213660.0,11,95.64,1052,5.36,28.55,5,2.0,1999-01-20,1999-12-05,45.45,319,2
217661.0,3,17.0,51,4.0,74.0,1,1.0,1999-04-09,1999-11-09,33.33,214,0
217901.0,1,546.0,546,5.0,97.0,0,2.0,1999-04-27,1999-04-27,0.0,0,2
219451.0,5,32.6,163,5.8,167.2,2,1.0,1999-08-01,1999-08-01,40.0,0,0
219519.0,1,17.0,17,6.0,8.0,1,1.0,1999-12-14,1999-12-14,100.0,0,0
224287.0,5,206.4,1032,5.2,45.0,1,2.0,1999-06-17,1999-07-18,20.0,31,2
230813.0,3,78.67,236,5.0,145.0,0,2.0,1999-03-01,1999-03-10,0.0,9,2
231373.0,1,296.0,296,6.0,47.0,0,1.0,1999-02-09,1999-02-09,0.0,0,0
234898.0,2,232.0,464,6.0,55.5,1,1.0,1999-05-02,1999-05-02,50.0,0,0
235010.0,4,57.0,228,4.5,65.75,1,1.0,1999-02-21,1999-08-25,25.0,185,0
236141.0,1,99.0,99,5.0,42.0,0,1.0,1999-11-14,1999-11-14,0.0,0,0
254052.0,4,224.5,898,5.5,64.5,1,2.0,1999-01-04,1999-08-03,25.0,211,2
255422.0,1,0.0,0,6.0,15.0,1,2.0,1999-07-27,1999-07-27,100.0,0,2
258152.0,45,64.47,2901,6.36,76.47,2,2.0,1999-01-24,1999-12-30,4.44,340,2
260554.0,6,116.83,701,6.0,42.17,0,2.0,1999-02-09,1999-12-26,0.0,320,2
273433.0,7,142.0,994,12.29,63.86,0,2.0,1999-03-08,1999-12-03,0.0,270,2
299172.0,1,171.0,171,5.0,11.0,0,2.0,1999-06-01,1999-06-01,0.0,0,2
301028.0,15,201.2,3018,5.87,107.27,0,2.0,1999-01-07,1999-05-24,0.0,137,2
357152.0,22,115.68,2545,5.27,67.0,10,2.0,1999-01-18,1999-08-04,45.45,198,2
360966.0,5,55.4,277,5.6,51.2,1,1.0,1999-03-10,1999-11-18,20.0,253,0
360974.0,1,3.0,3,5.0,27.0,0,1.0,1999-02-24,1999-02-24,0.0,0,0
367425.0,1,0.0,0,5.0,24.0,1,1.0,1999-07-13,1999-07-13,100.0,0,0
368936.0,37,64.11,2372,5.54,39.41,19,1.0,1999-01-03,1999-12-26,51.35,357,0
380790.0,1,114.0,114,6.0,114.0,0,2.0,1999-01-05,1999-01-05,0.0,0,2
388561.0,15,180.33,2705,5.27,39.93,5,2.0,1999-01-15,1999-12-30,33.33,349,2
389726.0,2,685.0,1370,5.5,65.0,0,2.0,1999-07-15,1999-12-15,0.0,153,2
400424.0,109,100.6,10965,5.93,74.43,13,2.0,1999-01-05,1999-12-23,11.93,352,2
401224.0,1,258.0,258,5.0,20.0,0,2.0,1999-01-20,1999-01-20,0.0,0,2
413740.0,7,167.57,1173,5.29,84.14,1,2.0,1999-06-28,1999-12-14,14.29,169,2
419655.0,1,107.0,107,3.0,0.0,0,2.0,1999-10-10,1999-10-10,0.0,0,2
430934.0,80,108.1,8648,5.69,93.36,5,2.0,1999-01-10,1999-12-27,6.25,351,2
456129.0,1,87.0,87,6.0,20.0,0,2.0,1999-03-09,1999-03-09,0.0,0,2
459313.0,2,136.0,272,6.0,170.0,0,2.0,1999-06-10,1999-06-10,0.0,0,2
463877.0,1,224.0,224,6.0,57.0,0,2.0,1999-12-30,1999-12-30,0.0,0,2
467282.0,14,134.21,1879,5.71,66.57,1,2.0,1999-01-25,1999-12-30,7.14,339,2
482430.0,25,149.04,3726,5.44,75.88,2,2.0,1999-01-18,1999-12-23,8.0,339,2
486548.0,1,327.0,327,5.0,112.0,0,1.0,1999-07-21,1999-07-21,0.0,0,0
493288.0,3,22.67,68,3.67,52.67,1,2.0,1999-01-19,1999-01-19,33.33,0,2
517409.0,10,149.4,1494,5.3,93.2,2,2.0,1999-04-30,1999-12-13,20.0,227,2
521831.0,4,74.75,299,5.75,93.5,1,1.0,1999-06-28,1999-07-25,25.0,27,0
522631.0,9,180.0,1620,5.56,105.89,0,2.0,1999-02-11,1999-09-28,0.0,229,2
526756.0,1,92.0,92,6.0,40.0,0,2.0,1999-06-06,1999-06-06,0.0,0,2
535419.0,58,111.29,6455,5.17,84.86,6,2.0,1999-01-03,1999-12-20,10.34,351,2
535435.0,1,0.0,0,5.0,42.0,1,2.0,1999-06-13,1999-06-13,100.0,0,2
542175.0,3,161.33,484,5.67,76.67,0,2.0,1999-05-05,1999-11-14,0.0,193,2
542217.0,5,208.4,1042,4.8,82.8,1,2.0,1999-03-04,1999-03-12,20.0,8,2
550525.0,19,77.89,1480,5.53,141.42,6,1.0,1999-01-06,1999-09-22,31.58,259,0
550764.0,1,211.0,211,6.0,68.0,0,2.0,1999-08-02,1999-08-02,0.0,0,2
551507.0,93,267.65,24891,5.57,74.82,11,2.0,1999-01-08,1999-12-30,11.83,356,2
553610.0,1,0.0,0,5.0,28.0,1,1.0,1999-02-01,1999-02-01,100.0,0,0
560292.0,6,120.0,720,5.5,81.83,1,1.0,1999-03-29,1999-12-22,16.67,268,0
563189.0,596,186.27,111015,5.62,125.39,51,2.0,1999-01-03,1999-12-30,8.56,361,2
567743.0,16,83.31,1333,5.56,81.44,8,1.0,1999-07-04,1999-12-15,50.0,164,0
569764.0,2,2.0,4,3.0,100.5,1,1.0,1999-02-14,1999-02-14,50.0,0,0
577205.0,12,63.42,761,5.67,52.58,1,2.0,1999-01-03,1999-12-16,8.33,347,2
579003.0,77,207.86,16005,5.65,96.26,4,2.0,1999-01-05,1999-12-15,5.19,344,2
587824.0,2,97.0,194,4.5,36.5,1,1.0,1999-05-18,1999-05-18,50.0,0,0
589150.0,1,125.0,125,5.0,91.0,0,1.0,1999-11-24,1999-11-24,0.0,0,0
591180.0,2,71.5,143,6.0,14.5,0,2.0,1999-09-06,1999-10-03,0.0,27,2
593111.0,10,36.2,362,4.8,51.8,3,2.0,1999-02-25,1999-11-17,30.0,265,2
593467.0,3,352.33,1057,9.0,11.33,0,2.0,1999-05-26,1999-10-13,0.0,140,2
593533.0,8,160.88,1287,5.38,125.5,2,2.0,1999-10-24,1999-12-30,25.0,67,2
597351.0,1,27.0,27,6.0,193.0,0,0.0,1999-01-14,1999-01-14,0.0,0,0
601625.0,1,0.0,0,5.0,76.0,1,2.0,1999-04-08,1999-04-08,100.0,0,2
602367.0,8,100.25,802,4.88,51.62,2,2.0,1999-04-12,1999-12-29,25.0,261,2
