date,total_calls,avg_service_time,median_service_time,std_service_time,avg_vru_time,median_vru_time,avg_queue_time,median_queue_time,hangs,hang_rate,efficiency_score
1999-01-01,600,156.59,84.0,226.82,11.01,9.0,15.44,0.0,93,15.5,84.5
1999-01-02,253,151.33,94.0,241.08,9.91,9.0,16.26,0.0,25,9.88,90.12
1999-01-03,2111,151.64,94.0,198.99,9.23,9.0,25.75,5.0,213,10.09,89.91
1999-01-04,1834,137.25,86.0,205.27,10.01,6.0,48.0,15.0,282,15.38,84.62
1999-01-05,1629,160.19,101.0,201.83,9.93,9.0,21.55,0.0,115,7.06,92.94
1999-01-06,1405,178.64,110.0,226.15,10.09,9.0,22.84,0.0,92,6.55,93.45
1999-01-07,1655,167.34,93.0,237.89,12.26,7.0,49.62,29.0,313,18.91,81.09
1999-01-08,439,159.43,88.0,197.38,11.15,10.0,11.63,0.0,57,12.98,87.02
1999-01-09,201,134.63,82.0,183.62,11.78,10.0,12.68,0.0,38,18.91,81.09
1999-01-10,1987,145.25,74.0,223.61,9.09,6.0,48.05,32.0,356,17.92,82.08
1999-01-13,1757,150.03,78.0,227.79,12.21,6.0,64.72,35.0,392,22.31,77.69
1999-01-14,1657,155.71,86.0,234.88,8.49,6.0,57.02,34.0,328,19.79,80.21
1999-01-15,500,167.39,97.0,194.03,10.92,10.0,11.86,0.0,45,9.0,91.0
1999-01-16,207,167.65,112.0,196.29,9.55,9.0,33.92,0.0,26,12.56,87.44
1999-01-17,1602,154.29,95.0,200.58,9.75,9.0,33.93,9.0,212,13.23,86.77
1999-01-18,1567,134.71,77.0,239.79,9.67,6.0,42.73,16.0,335,21.38,78.62
1999-01-19,1456,154.06,91.0,210.23,9.71,6.0,42.74,14.0,201,13.8,86.2
1999-01-20,1310,153.64,92.0,214.44,10.11,6.0,45.81,14.0,185,14.12,85.88
1999-01-21,1426,163.33,95.0,235.5,8.77,6.0,47.65,15.0,227,15.92,84.08
1999-01-22,381,182.41,96.0,309.13,11.38,10.0,13.55,0.0,42,11.02,88.98
1999-01-23,194,161.42,105.5,210.65,9.15,9.0,21.64,0.0,18,9.28,90.72
1999-01-24,1174,168.85,100.0,215.98,10.33,9.0,22.08,0.0,92,7.84,92.16
1999-01-25,1099,168.29,103.0,234.57,9.89,9.0,25.86,0.0,94,8.55,91.45
1999-01-26,1185,166.3,94.0,251.44,10.73,9.0,37.32,0.0,147,12.41,87.59
1999-01-27,1009,171.58,103.0,228.06,10.45,9.0,23.98,0.0,62,6.14,93.86
1999-01-28,1191,164.24,96.0,208.97,10.17,9.0,35.48,0.0,121,10.16,89.84
1999-01-29,375,167.44,90.0,222.72,12.06,11.0,4.3,0.0,47,12.53,87.47
1999-01-30,159,187.5,97.0,286.24,11.03,9.0,13.1,0.0,18,11.32,88.68
1999-01-31,1236,164.7,98.5,224.44,9.68,9.0,29.79,0.0,123,9.95,90.05
1999-02-01,1567,141.83,85.0,199.59,9.16,9.0,36.12,8.0,197,12.57,87.43
1999-02-02,1846,136.43,82.5,182.61,8.7,9.0,36.01,13.5,237,12.84,87.16
1999-02-03,1949,116.35,59.0,194.3,18.58,9.0,29.69,0.0,620,31.81,68.19
